who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
393744,Prime Minister of Saint Vincent and the Grenadines,4th Prime Minister of Saint Vincent and the Grenadines,2001-03-28,,Q1268324,Arnhim Eustace,,,0
393744,Unity Labour Party,Leader of the Unity Labour Party,1998-12-06,,,Vincent Beache,,,1
393744,Caribbean Community,Chairman of the Caribbean Community,2020-07-01,2021-12-30,Mia Mottley,Mia Mottley,Keith Rowley,Keith Rowley,2
393744,,,2014-01-01,2014-06-30,Kamla Persad-Bissessar,Kamla Persad-Bissessar,Gaston Browne,Gaston Browne,3
393744,Q112609747,Minister of Finance,2001-03-28,2017-11-10,Q1268324,Arnhim Eustace,Q5026702,Camillo Gonsalves,4
393744,Member of Parliament,Member of Parliament for North Central Windward,1994,,,,,,5
393744,North Central Windward,Member of Parliament for North Central Windward,1994,,,,,,6
