who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
31900638,,,,,,,,,0
31900638,Q112609747,Minister of Finance,2017-11-10,,Q57800,Ralph Gonsalves,,,1
31900638,Permanent Representative,Permanent Representative to the United Nations for Saint Vincent and the Grenadines [[image:Flag of Saint Vincent and the Grenadines.svg|25px]],2007-11,2013-09,Margaret Hughes-Ferrari,Margaret Hughes-Ferrari,,,2
31900638,Saint Vincent and the Grenadines,Permanent Representative to the United Nations for Saint Vincent and the Grenadines [[image:Flag of Saint Vincent and the Grenadines.svg|25px]],2007-11,2013-09,Margaret Hughes-Ferrari,Margaret Hughes-Ferrari,,,3
