item,rank,gender,isIdentity,hasref,refitem,exurl,wmurl,wmproj
Q101693621,NormalRank,Q6581097,true,false,,,,
Q108461902,NormalRank,Q6581097,true,false,,,,
Q108461903,NormalRank,Q6581097,true,false,,,,
Q108461905,NormalRank,Q6581097,true,false,,,,
Q114739574,NormalRank,Q6581097,true,false,,,,
Q114739575,NormalRank,Q6581097,true,false,,,,
Q114739576,NormalRank,Q6581097,true,false,,,,
Q114739577,NormalRank,Q6581097,true,false,,,,
Q114740002,NormalRank,Q6581097,true,false,,,,
Q1268324,NormalRank,Q6581097,true,false,,,,
Q1281056,NormalRank,Q6581097,true,false,,,,
Q28382039,NormalRank,Q6581097,true,false,,,,
Q28382042,NormalRank,Q6581097,true,false,,,,
Q354705,NormalRank,Q6581097,true,false,,,,
Q3560964,NormalRank,Q6581097,true,true,false,false,false,false
Q42386929,NormalRank,Q6581097,true,true,false,false,false,true
Q5026702,NormalRank,Q6581097,true,false,,,,
Q66088003,NormalRank,Q6581072,true,true,false,false,false,true
Q6899931,NormalRank,Q6581072,true,true,false,true,false,false
Q86713407,NormalRank,Q6581072,true,false,,,,
Q43274,NormalRank,Q6581097,true,true,false,false,false,true
Q57800,NormalRank,Q6581097,true,true,false,false,false,true
Q58248,NormalRank,Q6581097,true,false,,,,
Q9682,NormalRank,Q6581072,true,true,false,true,false,false
Q9682,NormalRank,Q6581072,true,true,true,false,false,false
