positionlabel,position
"Minister of Agriculture, Forestry, Fisheries, Rural Transformation, Industry and Labour",Q114739220
Minister of Education and National Reconciliation,Q114739112
"Minister of Finance, Economic Planning, Information and Technology",Q112609747
Minister of Foreign Affairs,Q19901423
"Minister of Health, Wellness and the Environment",Q114739223
Minister of Information,Q114739225
Minister of Legal Affairs,Q114739113
"Minister of National Mobilization, Social Development, Family, Gender Affairs, Youth, Housing and Informal Settlement",Q114739231
Minister of National Security,Q114739521
"Minister of Public Service, Consumer Affairs and Sports",Q114739522
"Minister of Tourism, Civil Aviation, Sustainable Development and Culture",Q114739528
"Minister of Transport, Works, Lands and Surveys and Physical Planning",Q114739529
"Minister of Urban Development, Energy, Airports, Sea Ports, Grenadines Affairs and Local Government",Q114739537
