@@,itemlabel,positionlabel
+++,Jaundy Martin,Attorney-General
+++,Keisal Peters,Minister of State with responsibility for Foreign Affairs and Foreign Trade
---,Ralph Gonsalves,Minister of Legal Affairs
---,Ralph Gonsalves,Minister of Information
