@@,item,itemlabel,position,positionlabel,startdate,enddate,psid
+++,,Keisal Peters,,"Minister of State in the Ministry of Foreign Affairs, National Security, Legal Affairs and Information.",,,
---,Q57800,Ralph Gonsalves,Q19901423,Minister of Foreign Affairs,2020-11-10,,Q57800-5B13C31A-767A-4A30-803A-C42F6EB82CD1
---,Q57800,Ralph Gonsalves,Q114739225,Minister of Information,2020-11-10,,Q57800-1378BE37-B675-4BB0-9184-03FE1C8B7EC3
+++,,Ralph Gonsalves,,Minister of Grenadines Affairs,,,
+++,,Ralph Gonsalves,,Minister of the Public Service,,,
+++,,Ralph Gonsalves,,Minister of Finance,,,
