id,position,country,jurisdiction,deputy,list,start,end,before,after,enwiki
Q61037457,Governor-General of Saint Vincent and the Grenadines,,Q757,,Q177360,1979-10-27,,,,Governor-General of Saint Vincent and the Grenadines
Q21296452,Member of the House of Assembly of Saint Vincent and the Grenadines,Q757,Q757,,,,,,,
Q112609747,Minister of Finance of Saint Vincent and the Grenadines,,Q757,,,,,,,Minister of Finance of Saint Vincent and the Grenadines
Q19901423,Minister of Foreign Affairs,Q757,Q757,,,,,,,Minister of Foreign Affairs (Saint Vincent and the Grenadines)
Q30101507,Prime Minister of Saint Vincent and the Grenadines,Q757,Q757,,Q527660,,,,,
Q38251217,Vincentian Ambassador to the United States,,,,,,,,,List of ambassadors of Saint Vincent and the Grenadines to the United States
Q26869653,monarch of Saint Vincent and the Grenadines,Q757,Q757,,,,,,,
