position,person,personID,start,end
monarch,Charles III,Q43274,2022-09-08,
Governor-General,Susan Dougan,Q66088003,2019-08-01,
Prime Minister,Ralph Gonsalves,Q57800,2001-03-28,
Deputy Prime Minister,Montgomery Daniel,Q101693621,2020-12-07,
Minister of Agriculture,Saboto Caesar,Q42386929,2020-11-10,
Minister of Education and National Reconciliation,Curtis King,Q114739574,2020-11-10,
Minister of Finance,Camillo Gonsalves,Q5026702,2020-11-10,
Minister of Foreign Affairs,Ralph Gonsalves,Q57800,2020-11-10,
Minister of Health,St. Clair Prince,Q28382039,2020-11-10,
Minister of Information,Ralph Gonsalves,Q57800,2020-11-10,
Minister of Legal Affairs,Ralph Gonsalves,Q57800,2020-11-10,
Minister of National Mobilization,Orando Brewster,Q114739577,2020-11-10,
Minister of National Security,Ralph Gonsalves,Q57800,2020-11-10,
Minister of Public Service,Frederick Stephenson,Q114739575,2020-11-10,
Minister of Tourism,Carlos James,Q28382042,2020-11-10,
Minister of Transport,Montgomery Daniel,Q101693621,2020-11-10,
Minister of Urban Development,Julian Francis,Q114739576,2020-11-10,
Attorney General,Jaundy Martin,Q114740002,2017-09-18,
