ordinal,item,itemLabel,inception,inceptionPrecision,abolished,abolishedPrecision,replaces,replacesLabel,replacedBy,replacedByLabel
,Q114738443,Fourth Gonsalves Cabinet,2015-01-01,9,2020-01-01,9,,,Q114738487,Fifth Gonsalves Cabinet
,Q114738487,Fifth Gonsalves Cabinet,2020-11-10,11,,,Q114738443,Fourth Gonsalves Cabinet,,
