item,itemLabel,minister,ministerLabel,began,ended
Q106616191,Ministry of Education and National Reconciliation,Q114739112,Minister of Education and National Reconciliation,,
Q56289999,Ministry of Legal Affairs,Q114739113,Minister of Legal Affairs,,
